Interval #,Allocation Site,Resident Pages,Zero Pages,Dirty Pages,Clean Pages,Non-Zero Byte Count,Zero Byte Count,Total Uncompressed Resident Size,Total Uncompressed Dirty Size,Total Uncompressed Clean Size,Total Compressed Resident Size,Total Compressed Dirty Size,Total Compressed Clean Size
1,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
1,7FAD6C443ADC,796,0,0,796,1132942.000000,3201810.000000,28777816.000000,0.000000,3260416.000000,664075.000000,0.000000,664075.000000
1,7FAD6C184D7C,1,0,0,1,30.000000,194.000000,224.000000,0.000000,224.000000,51.000000,0.000000,51.000000
1,405449,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
1,40545F,1,0,0,1,0.000000,32.000000,32.000000,0.000000,32.000000,11.000000,0.000000,11.000000
2,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
2,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
2,7FAD6C443ADC,1281,0,0,1281,2143957.000000,3103019.000000,332641496.000000,0.000000,5246976.000000,841917.000000,0.000000,841917.000000
2,7FAD6C184D7C,1,0,0,1,37.000000,187.000000,224.000000,0.000000,224.000000,61.000000,0.000000,61.000000
2,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
2,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
2,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
2,402D94,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
3,40321C,999,0,0,999,11818.000000,20150.000000,31968.000000,0.000000,31968.000000,23969.000000,0.000000,23969.000000
3,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
3,7FAD6C443ADC,1281,0,0,1281,2158623.000000,3088353.000000,332641496.000000,0.000000,5246976.000000,836129.000000,0.000000,836129.000000
3,7FAD6C184D7C,1,0,1,0,37.000000,187.000000,224.000000,224.000000,0.000000,62.000000,62.000000,0.000000
3,402D6D,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,13.000000,0.000000,13.000000
3,402D7A,1,0,0,1,3.000000,29.000000,32.000000,0.000000,32.000000,14.000000,0.000000,14.000000
3,402D87,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
3,402D94,1,0,0,1,5.000000,27.000000,32.000000,0.000000,32.000000,17.000000,0.000000,17.000000
4,40321C,998,0,998,0,11806.000000,20130.000000,31936.000000,31936.000000,0.000000,23945.000000,23945.000000,0.000000
4,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
4,7FAD6C443ADC,1281,0,289,992,2158683.000000,3088293.000000,332641496.000000,1183744.000000,4063232.000000,823127.000000,175709.000000,647418.000000
4,7FAD6C184D7C,1,0,1,0,37.000000,187.000000,224.000000,224.000000,0.000000,62.000000,62.000000,0.000000
4,402D6D,1,0,1,0,3.000000,29.000000,32.000000,32.000000,0.000000,13.000000,13.000000,0.000000
4,402D7A,1,0,1,0,3.000000,29.000000,32.000000,32.000000,0.000000,13.000000,13.000000,0.000000
4,402D87,1,0,1,0,5.000000,27.000000,32.000000,32.000000,0.000000,17.000000,17.000000,0.000000
4,402D94,1,0,1,0,5.000000,27.000000,32.000000,32.000000,0.000000,17.000000,17.000000,0.000000
5,40321C,999,0,124,875,11818.000000,20150.000000,31968.000000,3968.000000,28000.000000,23969.000000,2969.000000,21000.000000
5,402E7F,256,0,1,255,780914.000000,267662.000000,31965728.000000,4096.000000,1044480.000000,209345.000000,827.000000,208518.000000
5,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
5,7FAD6C443ADC,1025,0,257,768,1301167.000000,2897233.000000,604641496.000000,1052672.000000,3145728.000000,637947.000000,272473.000000,365474.000000
5,7FAD6C184D7C,1,0,1,0,38.000000,186.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
5,402D6D,1,0,1,0,3.000000,29.000000,32.000000,32.000000,0.000000,14.000000,14.000000,0.000000
5,402D7A,1,0,1,0,0.000000,32.000000,32.000000,32.000000,0.000000,11.000000,11.000000,0.000000
5,402D87,1,0,1,0,5.000000,27.000000,32.000000,32.000000,0.000000,17.000000,17.000000,0.000000
5,402D94,1,0,1,0,10.000000,22.000000,32.000000,32.000000,0.000000,24.000000,24.000000,0.000000
6,40321C,999,0,124,875,11818.000000,20150.000000,31968.000000,3968.000000,28000.000000,23969.000000,2969.000000,21000.000000
6,402E7F,256,0,1,255,780914.000000,267662.000000,31965728.000000,4096.000000,1044480.000000,209345.000000,827.000000,208518.000000
6,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
6,7FAD6C443ADC,1025,0,257,768,1373163.000000,2825237.000000,604641496.000000,1052672.000000,3145728.000000,635056.000000,272473.000000,362583.000000
6,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,65.000000,65.000000,0.000000
6,402D6D,1,0,1,0,3.000000,29.000000,32.000000,32.000000,0.000000,14.000000,14.000000,0.000000
6,402D7A,1,0,1,0,3.000000,29.000000,32.000000,32.000000,0.000000,14.000000,14.000000,0.000000
6,402D87,1,0,1,0,5.000000,27.000000,32.000000,32.000000,0.000000,17.000000,17.000000,0.000000
6,402D94,1,0,1,0,10.000000,22.000000,32.000000,32.000000,0.000000,24.000000,24.000000,0.000000
7,40321C,999,0,124,875,11818.000000,20150.000000,31968.000000,3968.000000,28000.000000,23969.000000,2969.000000,21000.000000
7,402E7F,256,0,1,255,780914.000000,267662.000000,31965728.000000,4096.000000,1044480.000000,209345.000000,827.000000,208518.000000
7,7FAD6C4668E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,93.000000,0.000000,93.000000
7,7FAD6C443ADC,1025,0,257,768,1377082.000000,2821318.000000,604641496.000000,1052672.000000,3145728.000000,654610.000000,272473.000000,382137.000000
7,7FAD6C184D7C,1,0,1,0,39.000000,185.000000,224.000000,224.000000,0.000000,64.000000,64.000000,0.000000
7,402D6D,1,0,1,0,3.000000,29.000000,32.000000,32.000000,0.000000,14.000000,14.000000,0.000000
7,402D7A,1,0,1,0,3.000000,29.000000,32.000000,32.000000,0.000000,14.000000,14.000000,0.000000
7,402D87,1,0,1,0,5.000000,27.000000,32.000000,32.000000,0.000000,17.000000,17.000000,0.000000
7,402D94,1,0,1,0,10.000000,22.000000,32.000000,32.000000,0.000000,24.000000,24.000000,0.000000
