Interval #,Allocation Site,Resident Pages,Zero Pages,Dirty Pages,Clean Pages,Non-Zero Byte Count,Zero Byte Count,Total Uncompressed Resident Size,Total Uncompressed Dirty Size,Total Uncompressed Clean Size,Total Uncompressed File Mapped Size,Total Compressed Resident Size,Total Compressed Dirty Size,Total Compressed Clean Size,Total Compressed File Mapped Size
1,7F43FC668454,21,0,21,0,170.000000,1334.000000,1504.000000,1504.000000,0.000000,0.000000,516.000000,516.000000,0.000000,0.000000
1,7F43FC68A8E1,1,0,1,0,94.000000,2.000000,96.000000,96.000000,0.000000,0.000000,93.000000,93.000000,0.000000,0.000000
1,7F43FC6682A4,1810,0,1810,0,3483945.000000,1360599.000000,4844544.000000,4844544.000000,0.000000,0.000000,1297724.000000,1297724.000000,0.000000,0.000000
1,7F43FC667ADC,613,0,613,0,1552960.000000,973032.000000,2953000.000000,2456552.000000,0.000000,0.000000,753346.000000,753346.000000,0.000000,0.000000
2,7F43FC1C27EB,1,0,1,0,41.000000,439.000000,480.000000,480.000000,0.000000,0.000000,55.000000,55.000000,0.000000,0.000000
2,7F43FC668454,21,0,21,0,295.000000,1209.000000,1504.000000,1504.000000,0.000000,0.000000,650.000000,650.000000,0.000000,0.000000
2,7F43FC1C1D7C,1,0,1,0,144.000000,3952.000000,4096.000000,4096.000000,0.000000,0.000000,154.000000,154.000000,0.000000,0.000000
2,7F43FC68A8E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,0.000000,93.000000,0.000000,93.000000,0.000000
2,7F43FC6682A4,1810,0,479,1331,3434111.000000,1410433.000000,4844544.000000,1813344.000000,3031200.000000,0.000000,2124939.000000,844839.000000,1280100.000000,0.000000
2,7F43FC667ADC,12932,0,12389,543,40756521.000000,21975637.000000,79466366.000000,50717472.000000,2199368.000000,0.000000,8623389.000000,7874285.000000,749104.000000,0.000000
3,7F43FC1C27EB,1,0,0,1,41.000000,439.000000,480.000000,0.000000,480.000000,0.000000,55.000000,0.000000,55.000000,0.000000
3,7F43FC668454,21,0,21,0,296.000000,1208.000000,1504.000000,1504.000000,0.000000,0.000000,649.000000,649.000000,0.000000,0.000000
3,7F43FC1C1D7C,1,0,0,1,144.000000,3952.000000,4096.000000,0.000000,4096.000000,0.000000,154.000000,0.000000,154.000000,0.000000
3,7F43FC68A8E1,1,0,0,1,94.000000,2.000000,96.000000,0.000000,96.000000,0.000000,93.000000,0.000000,93.000000,0.000000
